Spacecraft,Spacecraft.1,Organization,Date,Type,Status,Notes,Image,Ref,Destination,Target
Pioneer 5,Pioneer 5,NASA/ DOD,March–April 1960,orbiter,success,"measured magnetic field phenomena, solar flare particles, and ionization in the interplanetary region",,1960-001A,Sun,
Pioneer 6(A),Pioneer 6(A),NASA,December 1965 – still contactable in 2000,orbiter,success,"network of solar-orbiting ""space weather"" monitors, observing solar wind, cosmic rays, and magnetic fields",,1965-105A,Sun,
Pioneer 7(B),Pioneer 7(B),NASA,August 1966 – still contactable in 1995,orbiter,success,"network of solar-orbiting ""space weather"" monitors, observing solar wind, cosmic rays, and magnetic fields",,1966-075A,Sun,
Pioneer 8(C),Pioneer 8(C),NASA,December 1967 – still contactable in 2001,orbiter,success,"network of solar-orbiting ""space weather"" monitors, observing solar wind, cosmic rays, and magnetic fields",,1967-123A,Sun,
Pioneer 9(D),Pioneer 9(D),NASA,November 1968 – May 1983,orbiter,success,"network of solar-orbiting ""space weather"" monitors, observing solar wind, cosmic rays, and magnetic fields",,1968-100A,Sun,
Pioneer-E,Pioneer-E,NASA,27 August 1969,orbiter,failure,intended as part of the Pioneer 6–9 network; failed to reach orbit,,PIONE,Sun,
Helios A,Helios A,DFVLR/ NASA,November 1974 – 1982,orbiter,success,"observations of solar wind, magnetic and electric fields, cosmic rays and cosmic dust between Earth and Sun",,1974-097A,Sun,
Helios B,Helios B,DFVLR/ NASA,January 1976 – 1985?,orbiter,success,"observations of solar wind, magnetic and electric fields, cosmic rays and cosmic dust between Earth and Sun",,1976-003A,Sun,
ISEE-3,ISEE-3,NASA,1978–1982,orbiter,success,observed solar phenomena in conjunction with earth-orbiting ISEE-1 and ISEE-2; later renamed International Cometary Explorer (ICE) and directed to Comet Giacobini-Zinner,,1976-003A,Sun,
Ulysses(first pass),Ulysses(first pass),ESA/ NASA,1994,orbiter,success,south polar observations,,1990-090B,Sun,
Ulysses(first pass),Ulysses(first pass),ESA/ NASA,1995,orbiter,success,north polar observations,,1990-090B,Sun,
WIND,WIND,NASA,November 1994 – still active as of February 2020,orbiter,success,solar wind measurements,,1994-071A,Sun,
SOHO,SOHO,ESA/ NASA,May 1996 – extended to December 2025,orbiter,success,"investigation of Sun's core, corona, and solar wind; comet discoveries",,1995-065A,Sun,
ACE,ACE,NASA,August 1997 – projected until 2024,orbiter,success,solar wind observations,,1997-045A,Sun,
Ulysses(second pass),Ulysses(second pass),ESA/ NASA,2000,orbiter,success,south polar observations,,1990-090B,Sun,
Ulysses(second pass),Ulysses(second pass),ESA/ NASA,2001,orbiter,success,north polar observations,,1990-090B,Sun,
Genesis,Genesis,NASA,2001–2004,orbiter/sample return,success,"solar wind sample return; crash landed on return to Earth, much data salvaged",,2001-034A,Sun,
STEREO A,STEREO A,NASA,December 2006 – still active as of September 2021,orbiter,success,stereoscopic imaging of coronal mass ejections and other solar phenomena,,2006-047A,Sun,
STEREO B,STEREO B,NASA,"December 2006 – October 2014.  August 2016 – October 2018  (communication lost between 1 October 2014 and 21 August 2016)  NASA directed that periodic recovery operations of Stereo-B cease with last support on October 17, 2018.",orbiter,success,stereoscopic imaging of coronal mass ejections and other solar phenomena,,2006-047B,Sun,
Ulysses(third pass),Ulysses(third pass),ESA/ NASA,2007,orbiter,success,south polar observations,,1990-090B,Sun,
Ulysses(third pass),Ulysses(third pass),ESA/ NASA,2008,orbiter,partial success,north polar observations; some data returned despite failing power and reduced transmission capacity,,1990-090B,Sun,
DSCOVR,DSCOVR,NOAA,February 2015 –,orbiter,success,"solar wind and coronal mass ejection monitoring, as well as Earth climate monitoring",,2015-007A,Sun,
Parker Solar Probe,Parker Solar Probe,NASA,November 2018 – December 2025,orbiter/flyby(approach 26 times),en route,close-range solar coronal study,,2018-065A,Sun,
Solar Orbiter,Solar Orbiter,ESA,10 February 2020 (launch),orbiter,en route,solar and heliospheric physics,,2020-010A,Sun,
CuSP,CuSP,NASA,16 November 2022,orbiter,success,study particles and magnetic fields.,,CUSP,Sun,
Aditya-L1,Aditya-L1,ISRO,2 September 2023 (launch),orbiter,success,Solar corona observation,,2023-132A,Sun,
Mariner 10,Mariner 10,NASA,29 March 1974,flyby,success,minimum distance 704 km,,1973-085A,Mercury,
Mariner 10,Mariner 10,NASA,21 September 1974,flyby,success,"48,069 km",,1973-085A,Mercury,
Mariner 10,Mariner 10,NASA,16 March 1975,flyby,success,327 km,,1973-085A,Mercury,
MESSENGER,MESSENGER,NASA,14 January 2008,flyby,success,minimum distance 200 km,,2004-030A,Mercury,
MESSENGER,MESSENGER,NASA,6 October 2008,flyby,success,minimum distance 200 km,,2004-030A,Mercury,
MESSENGER,MESSENGER,NASA,29 September 2009,flyby,success,minimum distance 228 km,,2004-030A,Mercury,
MESSENGER,MESSENGER,NASA,18 March 2011 –30 April 2015,orbiter,success,first spacecraft to orbit Mercury; unavoidable impact on the surface at end of mission,,2004-030A,Mercury,
BepiColombo(Mercury Cruise System),BepiColombo(Mercury Cruise System),ESA/ JAXA,1 October 2021,flyby,success,,,2018-080A,Mercury,
BepiColombo(Mercury Cruise System),BepiColombo(Mercury Cruise System),ESA/ JAXA,23 June 2022,flyby,success,,,2018-080A,Mercury,
BepiColombo(Mercury Cruise System),BepiColombo(Mercury Cruise System),ESA/ JAXA,19 June 2023,flyby,success,,,2018-080A,Mercury,
BepiColombo(Mercury Cruise System),BepiColombo(Mercury Cruise System),ESA/ JAXA,September 2024,flyby,en route,,,2018-080A,Mercury,
BepiColombo(Mercury Cruise System),BepiColombo(Mercury Cruise System),ESA/ JAXA,December 2024,flyby,en route,,,2018-080A,Mercury,
BepiColombo(Mercury Cruise System),BepiColombo(Mercury Cruise System),ESA/ JAXA,January 2025,flyby,en route,,,2018-080A,Mercury,
Tyazhely Sputnik,Tyazhely Sputnik,(USSR),4 February 1961,lander,failure,failed to escape from Earth orbit,,1961-002A,Venus,
Venera 1,Venera 1,(USSR),19 May 1961 –20 May 1961,flyby,failure,contact lost 7 days after launch; first spacecraft to fly by another planet,,1961-003A,Venus,
Mariner 1,Mariner 1,NASA,22 July 1962,flyby,failure,guidance failure shortly after launch,,MARIN1,Venus,
Sputnik 19,Sputnik 19,(USSR),25 August 1962,lander,failure,failed to escape Earth orbit,,1962-040A,Venus,
Sputnik 20,Sputnik 20,(USSR),1 September 1962,lander,failure,failed to escape Earth orbit,,1962-043A,Venus,
Sputnik 21,Sputnik 21,(USSR),12 September 1962,flyby,failure,third stage exploded,,1962-045A,Venus,
Mariner 2,Mariner 2,NASA,14 December 1962,flyby,success,"first successful Venus flyby; minimum distance 34,773 km",,1962-041A,Venus,
Cosmos 21†,Cosmos 21†,(USSR),11 November 1963,flyby?,failure,failed to escape Earth orbit,,1963-044A,Venus,
Venera 1964A†,Venera 1964A†,(USSR),19 February 1964,flyby,failure,failed to reach Earth orbit,,,Venus,
Venera 1964B†,Venera 1964B†,(USSR),1 March 1964,flyby,failure,failed to reach Earth orbit,,,Venus,
Cosmos 27,Cosmos 27,(USSR),27 March 1964,flyby,failure,failed to escape Earth orbit,,1964-014A,Venus,
Zond 1,Zond 1,(USSR),1964,flyby and possible lander,failure,contact lost en route,,1964-016D,Venus,
Cosmos 96,Cosmos 96,(USSR),23 November 1965,lander,failure,did not depart low Earth orbit due to a launch failure,,1965-094A,Venus,
Venera 1965A†,Venera 1965A†,(USSR),26 November 1965,flyby,failure,launch vehicle failure?,,,Venus,
Venera 2,Venera 2,(USSR),27 February 1966,flyby,failure,ceased to operate en route,,1965-091A,Venus,
Venera 3,Venera 3,(USSR),1 March 1966,lander,failure,contact lost before arrival; first spacecraft to impact on the surface of another planet,,1965-092A,Venus,
Kosmos 167,Kosmos 167,(USSR),17 June 1967,lander,failure,failed to escape Earth orbit,,1967-063A,Venus,
Venera 4,Venera 4,(USSR),18 October 1967,atmospheric probe,success,continued to transmit to an altitude of 25 km,,1967-058A,Venus,
Mariner 5,Mariner 5,NASA,19 October 1967,flyby,success,"minimum distance 5,000 km",,1967-060A,Venus,
Venera 5,Venera 5,(USSR),16 May 1969,atmospheric probe,success,"transmitted atmospheric data for 53 minutes, to an altitude of about 26 km",,1969-001A,Venus,
